Date,Description,Amount,Type,Predicted_Label
2025-06-03,NPS Contribution,2103,DEBIT,SAVINGS
2025-06-27,Transfer to Education Fund,32162,DEBIT,SAVINGS
2025-06-10,Grocery Shopping at Amazon,8556,DEBIT,EXPENSE
2025-06-19,Electricity Bill Payment,1593,DEBIT,EXPENSE
2025-06-13,Transfer to PPF Account,27120,DEBIT,SAVINGS
2025-06-05,NPS Contribution,25855,DEBIT,SAVINGS
2025-06-14,Investment in HDFC Top 100,43775,DEBIT,SAVINGS
2025-06-26,Transfer to NPS Account,12964,DEBIT,SAVINGS
2025-06-11,Investment in HDFC Top 100,28806,DEBIT,SAVINGS
2025-06-01,Transfer to Education Fund,42291,DEBIT,SAVINGS
2025-06-03,LIC Premium Payment,37244,DEBIT,SAVINGS
2025-06-23,UPI payment to Amazon,18162,DEBIT,EXPENSE
2025-06-22,Transfer to Education Fund,24041,DEBIT,SAVINGS
2025-06-23,Sweep-in to Savings,25446,DEBIT,SAVINGS
2025-06-14,FD Creation at ICICI Bank,5210,DEBIT,SAVINGS
2025-06-09,Transfer to Fixed Deposit,38472,DEBIT,SAVINGS
2025-06-09,Transfer to NPS Account,19665,DEBIT,SAVINGS
2025-06-05,POS/AMAZON IN/Online Shopping,9247,DEBIT,EXPENSE
2025-06-01,Closure Proceeds from FD,5808,DEBIT,SAVINGS
2025-06-03,Auto Sweep to FD,42228,DEBIT,SAVINGS
2025-06-19,RD Installment at HDFC Bank,43670,DEBIT,SAVINGS
2025-06-05,FD Creation at Axis Bank,10003,DEBIT,SAVINGS
2025-06-01,NPS Contribution,27939,DEBIT,SAVINGS
2025-06-15,Subscription Renewal - Netflix,16977,DEBIT,EXPENSE
2025-06-12,PPF Deposit,32449,DEBIT,SAVINGS
2025-06-27,Salary credited from XYZ Pvt Ltd,12891,CREDIT,INCOME
2025-06-01,Dining Out at Cafe Coffee Day,16311,DEBIT,EXPENSE
2025-06-16,Grocery Shopping at Big Bazaar,10838,DEBIT,EXPENSE
2025-06-14,Subscription Renewal - Netflix,16152,DEBIT,EXPENSE
2025-06-26,Consulting payment from TCS,91156,CREDIT,INCOME
2025-06-28,Fuel Purchase at Apollo Pharmacy,6340,DEBIT,EXPENSE
2025-06-17,FD Creation at HDFC Bank,11082,DEBIT,SAVINGS
2025-06-16,Dividend from Mutual Fund,34090,CREDIT,INCOME
2025-06-03,Goal Based Savings Transfer,7253,DEBIT,SAVINGS
2025-06-05,Fuel Purchase at Amazon,14088,DEBIT,EXPENSE
2025-06-12,Medical Consultation at Myntra,5857,DEBIT,EXPENSE
2025-06-01,Refund from Amazon,82848,CREDIT,INCOME
2025-06-07,Refund from Amazon,7807,CREDIT,INCOME
2025-06-02,Dividend from Mutual Fund,51595,CREDIT,INCOME
2025-06-21,Gift received from Family,67466,CREDIT,INCOME
2025-06-19,Mutual Fund Investment - UTI Flexi Cap,40463,DEBIT,SAVINGS
2025-06-17,Refund from Amazon,63398,CREDIT,INCOME
2025-06-27,PPF Deposit,48171,DEBIT,SAVINGS
2025-06-07,POS/AMAZON IN/Online Shopping,17215,DEBIT,EXPENSE
2025-06-09,NPS Contribution,36972,DEBIT,SAVINGS
2025-06-06,Gift received from Family,24136,CREDIT,INCOME
2025-06-02,Investment in Axis Bluechip,18618,DEBIT,SAVINGS
2025-06-14,Dining Out at Indian Oil,16230,DEBIT,EXPENSE
2025-06-06,Fuel Purchase at Myntra,8595,DEBIT,EXPENSE
2025-06-17,Sweep-in to Savings,33848,DEBIT,SAVINGS
2025-06-08,Investment in HDFC Top 100,8707,DEBIT,SAVINGS
2025-06-07,Transfer to PPF Account,28550,DEBIT,SAVINGS
2025-06-08,Consulting payment from INFOSYS LTD,89703,CREDIT,INCOME
2025-06-08,ATM Cash Withdrawal,18125,DEBIT,EXPENSE
2025-06-23,Fixed Deposit opened at SBI,27550,DEBIT,SAVINGS
2025-06-19,LIC Premium Payment,3734,DEBIT,SAVINGS
2025-06-13,Dividend from Mutual Fund,68825,CREDIT,INCOME
2025-06-17,PPF Deposit,17364,DEBIT,SAVINGS
2025-06-22,Medical Consultation at Amazon,867,DEBIT,EXPENSE
2025-06-24,Refund from Amazon,67329,CREDIT,INCOME
2025-06-11,Subscription Renewal - Netflix,1593,DEBIT,EXPENSE
2025-06-21,NPS Contribution,31147,DEBIT,SAVINGS
2025-06-23,Fixed Deposit opened at ICICI Bank,39666,DEBIT,SAVINGS
2025-06-18,Fuel Purchase at Amazon,4803,DEBIT,EXPENSE
2025-06-19,Interest from Savings Account,86130,CREDIT,INCOME
2025-06-09,Auto Sweep to FD,31049,DEBIT,SAVINGS
2025-06-05,Fuel Purchase at Indian Oil,9915,DEBIT,EXPENSE
2025-06-16,Transfer to Fixed Deposit,44054,DEBIT,SAVINGS
2025-06-17,PPF Deposit,37923,DEBIT,SAVINGS
2025-06-19,Consulting payment from XYZ Pvt Ltd,82194,CREDIT,INCOME
2025-06-21,Recurring Deposit started at Axis Bank,22733,DEBIT,SAVINGS
2025-06-13,Gift received from Family,14379,CREDIT,INCOME
2025-06-14,Transfer to Child Plan,34898,DEBIT,SAVINGS
2025-06-15,Electricity Bill Payment,17134,DEBIT,EXPENSE
2025-06-24,Refund from Amazon,20481,CREDIT,INCOME
2025-06-15,FD Creation at HDFC Bank,18855,DEBIT,SAVINGS
2025-06-12,FD Creation at HDFC Bank,10108,DEBIT,SAVINGS
2025-06-23,Fuel Purchase at Amazon,3656,DEBIT,EXPENSE
2025-06-24,Transfer to Fixed Deposit,24652,DEBIT,SAVINGS
2025-06-26,Fuel Purchase at Indian Oil,13068,DEBIT,EXPENSE
2025-06-23,Refund from Amazon,63182,CREDIT,INCOME
2025-06-05,Recurring Deposit started at ICICI Bank,22414,DEBIT,SAVINGS
2025-06-11,Gift received from Family,84687,CREDIT,INCOME
2025-06-05,Investment in SBI Magnum,29372,DEBIT,SAVINGS
2025-06-16,NPS Contribution,17973,DEBIT,SAVINGS
2025-06-01,ATM Cash Withdrawal,10996,DEBIT,EXPENSE
2025-06-14,Credit Card Bill Payment,17200,DEBIT,EXPENSE
2025-06-21,Transfer to Recurring Deposit,7586,DEBIT,SAVINGS
2025-06-15,Gift received from Family,69666,CREDIT,INCOME
2025-06-07,Auto Sweep to FD,9785,DEBIT,SAVINGS
2025-06-15,Closure Proceeds from LIC Policy,36625,DEBIT,SAVINGS
2025-06-06,Transfer to Recurring Deposit,49522,DEBIT,SAVINGS
2025-06-06,Gift received from Family,99845,CREDIT,INCOME
2025-06-02,Mutual Fund Investment - UTI Flexi Cap,42266,DEBIT,SAVINGS
2025-06-05,Transfer to Education Fund,15335,DEBIT,SAVINGS
2025-06-02,Sweep-in to Savings,28397,DEBIT,SAVINGS
2025-06-21,Recurring Deposit started at Axis Bank,15661,DEBIT,SAVINGS
2025-06-21,Investment in Axis Bluechip,30563,DEBIT,SAVINGS
2025-06-09,Transfer to Fixed Deposit,16846,DEBIT,SAVINGS
2025-06-07,Goal Based Savings Transfer,14280,DEBIT,SAVINGS
2025-06-11,Salary credited from TCS,27249,CREDIT,INCOME
2025-06-09,Medical Consultation at Big Bazaar,10815,DEBIT,EXPENSE
2025-06-02,Closure Proceeds from RD,43243,DEBIT,SAVINGS
2025-06-23,Electricity Bill Payment,12703,DEBIT,EXPENSE
2025-06-23,Closure Proceeds from RD,32007,DEBIT,SAVINGS
2025-06-06,Refund from Amazon,75163,CREDIT,INCOME
2025-06-25,UPI payment to Cafe Coffee Day,19786,DEBIT,EXPENSE
2025-06-06,Mutual Fund Investment - HDFC Top 100,41474,DEBIT,SAVINGS
2025-06-06,Transfer to Education Fund,47447,DEBIT,SAVINGS
2025-06-08,Gift received from Family,41450,CREDIT,INCOME
2025-06-08,Consulting payment from INFOSYS LTD,56975,CREDIT,INCOME
2025-06-28,Transfer to Fixed Deposit,35256,DEBIT,SAVINGS
2025-06-14,Fixed Deposit opened at PNB,47824,DEBIT,SAVINGS
2025-06-15,Closure Proceeds from RD,24345,DEBIT,SAVINGS
2025-06-22,NPS Contribution,40558,DEBIT,SAVINGS
2025-06-04,Interest from Savings Account,64273,CREDIT,INCOME
2025-06-02,Transfer to Education Fund,45221,DEBIT,SAVINGS
2025-06-21,Gift received from Family,70605,CREDIT,INCOME
2025-06-10,Medical Consultation at Flipkart,8829,DEBIT,EXPENSE
2025-06-15,Electricity Bill Payment,15383,DEBIT,EXPENSE
2025-06-28,Salary credited from TCS,57958,CREDIT,INCOME
2025-06-23,SIP to SBI Magnum,9295,DEBIT,SAVINGS
2025-06-13,Refund from Amazon,1686,CREDIT,INCOME
2025-06-01,Interest from Savings Account,30847,CREDIT,INCOME
2025-06-25,PPF Deposit,5121,DEBIT,SAVINGS
2025-06-24,PPF Deposit,4417,DEBIT,SAVINGS
2025-06-23,Electricity Bill Payment,183,DEBIT,EXPENSE
2025-06-17,Recurring Deposit started at Axis Bank,17772,DEBIT,SAVINGS
2025-06-22,Transfer to Fixed Deposit,29525,DEBIT,SAVINGS
2025-06-18,POS/AMAZON IN/Online Shopping,9795,DEBIT,EXPENSE
2025-06-26,FD Creation at SBI,9952,DEBIT,SAVINGS
2025-06-12,Dining Out at Myntra,8400,DEBIT,EXPENSE
2025-06-12,PPF Deposit,42973,DEBIT,SAVINGS
2025-06-10,Dividend from Mutual Fund,67972,CREDIT,INCOME
2025-06-19,Dividend from Mutual Fund,30589,CREDIT,INCOME
2025-06-13,Auto Sweep to FD,44248,DEBIT,SAVINGS
2025-06-18,Dividend from Mutual Fund,75358,CREDIT,INCOME
2025-06-05,SIP to SBI Magnum,48912,DEBIT,SAVINGS
2025-06-26,UPI payment to Amazon,5373,DEBIT,EXPENSE
2025-06-04,Electricity Bill Payment,14983,DEBIT,EXPENSE
2025-06-14,Fixed Deposit opened at ICICI Bank,11167,DEBIT,SAVINGS
2025-06-07,Interest from Savings Account,16996,CREDIT,INCOME
2025-06-02,Refund from Amazon,55478,CREDIT,INCOME
2025-06-23,UPI payment to Myntra,2224,DEBIT,EXPENSE
2025-06-24,Mutual Fund Investment - ICICI Prudential,8390,DEBIT,SAVINGS
2025-06-27,Transfer to Recurring Deposit,38125,DEBIT,SAVINGS
2025-06-07,ATM Cash Withdrawal,13058,DEBIT,EXPENSE
2025-06-07,Consulting payment from TCS,83354,CREDIT,INCOME
2025-06-24,Transfer to Fixed Deposit,37786,DEBIT,SAVINGS
2025-06-10,Transfer to PPF Account,3638,DEBIT,SAVINGS
2025-06-18,Refund from Amazon,75557,CREDIT,INCOME
2025-06-19,LIC Premium Payment,26343,DEBIT,SAVINGS
2025-06-17,Mutual Fund Investment - HDFC Top 100,30556,DEBIT,SAVINGS
2025-06-13,Dividend from Mutual Fund,17206,CREDIT,INCOME
2025-06-27,Refund from Amazon,42207,CREDIT,INCOME
2025-06-23,Recurring Deposit started at Axis Bank,25940,DEBIT,SAVINGS
2025-06-13,Grocery Shopping at Amazon,18582,DEBIT,EXPENSE
2025-06-11,Closure Proceeds from FD,31944,DEBIT,SAVINGS
2025-06-26,Fuel Purchase at Flipkart,10553,DEBIT,EXPENSE
2025-06-26,Award for best employee,85253,CREDIT,INCOME
2025-06-10,Fuel Purchase at Indian Oil,5539,DEBIT,EXPENSE
2025-06-22,PPF Deposit,34014,DEBIT,SAVINGS
2025-06-27,Electricity Bill Payment,16006,DEBIT,EXPENSE
2025-06-15,Salary credited from ABC Corp,96243,CREDIT,INCOME
2025-06-08,NPS Contribution,40062,DEBIT,SAVINGS
2025-06-17,Electricity Bill Payment,9938,DEBIT,EXPENSE
2025-06-11,Subscription Renewal - Netflix,10105,DEBIT,EXPENSE
2025-06-11,Consulting payment from TCS,23491,CREDIT,INCOME
2025-06-24,Subscription Renewal - Netflix,16689,DEBIT,EXPENSE
2025-06-13,Dining Out at Indian Oil,14243,DEBIT,EXPENSE
2025-06-16,Interest from Savings Account,77442,CREDIT,INCOME
2025-06-13,Transfer to Education Fund,49697,DEBIT,SAVINGS
2025-06-14,Sweep-in to Savings,13139,DEBIT,SAVINGS
2025-06-10,Sweep-in to Savings,17046,DEBIT,SAVINGS
2025-06-20,Mutual Fund Investment - HDFC Top 100,25912,DEBIT,SAVINGS
2025-06-21,Interest from Savings Account,72720,CREDIT,INCOME
2025-06-02,Transfer to Child Plan,14685,DEBIT,SAVINGS
2025-06-07,Recurring Deposit started at HDFC Bank,19619,DEBIT,SAVINGS
2025-06-01,NPS Contribution,43546,DEBIT,SAVINGS
2025-06-07,Consulting payment from INFOSYS LTD,21223,CREDIT,INCOME
2025-06-13,Maturity Proceeds from NPS,6374,DEBIT,SAVINGS
2025-06-04,ATM Cash Withdrawal,11535,DEBIT,EXPENSE
2025-06-21,Salary credited from TCS,46432,CREDIT,INCOME
2025-06-19,Mutual Fund Investment - UTI Flexi Cap,25996,DEBIT,SAVINGS
2025-06-20,Dividend from Mutual Fund,96492,CREDIT,INCOME
2025-06-06,LIC Premium Payment,10343,DEBIT,SAVINGS
2025-06-26,Award for best employee,52534,CREDIT,INCOME
2025-06-01,Fuel Purchase at Myntra,8788,DEBIT,EXPENSE
2025-06-10,Fuel Purchase at Cafe Coffee Day,1075,DEBIT,EXPENSE
2025-06-15,Refund from Amazon,8767,CREDIT,INCOME
2025-06-10,Investment in UTI Flexi Cap,22484,DEBIT,SAVINGS
2025-06-22,Transfer to Fixed Deposit,13223,DEBIT,SAVINGS
2025-06-02,Subscription Renewal - Netflix,4159,DEBIT,EXPENSE
2025-06-09,Transfer to Recurring Deposit,7563,DEBIT,SAVINGS
2025-06-21,Auto Sweep to FD,7483,DEBIT,SAVINGS
2025-06-16,Grocery Shopping at Myntra,16044,DEBIT,EXPENSE
2025-06-24,POS/AMAZON IN/Online Shopping,12548,DEBIT,EXPENSE
2025-06-19,RD Installment at PNB,23539,DEBIT,SAVINGS
2025-06-09,Transfer to Recurring Deposit,46770,DEBIT,SAVINGS
2025-06-26,Interest from Savings Account,17070,CREDIT,INCOME
2025-06-26,Transfer to Recurring Deposit,37742,DEBIT,SAVINGS
2025-06-22,Sweep-in to Savings,21266,DEBIT,SAVINGS
2025-06-15,Sweep-in to Savings,35421,DEBIT,SAVINGS
2025-06-02,Transfer to Recurring Deposit,21195,DEBIT,SAVINGS
2025-06-05,Transfer to PPF Account,46298,DEBIT,SAVINGS
2025-06-14,Award for best employee,14275,CREDIT,INCOME
2025-06-23,Dividend from Mutual Fund,29791,CREDIT,INCOME
2025-06-08,Consulting payment from ABC Corp,64473,CREDIT,INCOME
2025-06-26,Dining Out at Amazon,14734,DEBIT,EXPENSE
2025-06-22,Recurring Deposit started at HDFC Bank,25215,DEBIT,SAVINGS
2025-06-04,Refund from Amazon,52850,CREDIT,INCOME
2025-06-13,FD Creation at HDFC Bank,12324,DEBIT,SAVINGS
2025-06-20,NPS Contribution,40220,DEBIT,SAVINGS
2025-06-18,Mutual Fund Investment - SBI Magnum,8415,DEBIT,SAVINGS
2025-06-01,SIP to Axis Bluechip,20133,DEBIT,SAVINGS
2025-06-07,Award for best employee,38045,CREDIT,INCOME
2025-06-08,Subscription Renewal - Netflix,2733,DEBIT,EXPENSE
2025-06-09,Consulting payment from TCS,19720,CREDIT,INCOME
2025-06-13,Medical Consultation at Flipkart,8437,DEBIT,EXPENSE
2025-06-19,Transfer to Recurring Deposit,24879,DEBIT,SAVINGS
2025-06-15,Investment in ICICI Prudential,21933,DEBIT,SAVINGS
2025-06-24,Medical Consultation at Cafe Coffee Day,12831,DEBIT,EXPENSE
2025-06-08,Dividend from Mutual Fund,6896,CREDIT,INCOME
2025-06-23,Gift received from Family,16145,CREDIT,INCOME
2025-06-02,FD Creation at PNB,49060,DEBIT,SAVINGS
2025-06-05,Medical Consultation at Cafe Coffee Day,19693,DEBIT,EXPENSE
2025-06-24,Transfer to Fixed Deposit,46768,DEBIT,SAVINGS
2025-06-10,UPI payment to Myntra,3639,DEBIT,EXPENSE
2025-06-27,Grocery Shopping at Myntra,9711,DEBIT,EXPENSE
2025-06-26,Transfer to Fixed Deposit,24797,DEBIT,SAVINGS
2025-06-28,Transfer to NPS Account,35591,DEBIT,SAVINGS
2025-06-03,Auto Sweep to FD,14055,DEBIT,SAVINGS
2025-06-15,Transfer to PPF Account,33969,DEBIT,SAVINGS
2025-06-09,Sweep-in to Savings,2113,DEBIT,SAVINGS
2025-06-12,Grocery Shopping at Big Bazaar,16906,DEBIT,EXPENSE
2025-06-26,Gift received from Family,21191,CREDIT,INCOME
2025-06-08,Recurring Deposit started at SBI,34839,DEBIT,SAVINGS
2025-06-22,Consulting payment from ABC Corp,97970,CREDIT,INCOME
2025-06-20,Mutual Fund Investment - ICICI Prudential,49685,DEBIT,SAVINGS
2025-06-08,Electricity Bill Payment,17642,DEBIT,EXPENSE
2025-06-06,SIP to UTI Flexi Cap,45453,DEBIT,SAVINGS
2025-06-05,NPS Contribution,19447,DEBIT,SAVINGS
2025-06-19,Award for best employee,94591,CREDIT,INCOME
2025-06-07,Salary credited from TCS,77050,CREDIT,INCOME
2025-06-12,Consulting payment from ABC Corp,31345,CREDIT,INCOME
2025-06-25,Recurring Deposit started at PNB,15391,DEBIT,SAVINGS
2025-06-07,Goal Based Savings Transfer,20676,DEBIT,SAVINGS
2025-06-25,RD Installment at ICICI Bank,40750,DEBIT,SAVINGS
2025-06-11,Dining Out at Myntra,14094,DEBIT,EXPENSE
2025-06-16,Interest from Savings Account,67920,CREDIT,INCOME
2025-06-12,Electricity Bill Payment,3073,DEBIT,EXPENSE
2025-06-27,Gift received from Family,50816,CREDIT,INCOME
2025-06-16,UPI payment to Big Bazaar,6457,DEBIT,EXPENSE
2025-06-05,POS/AMAZON IN/Online Shopping,1964,DEBIT,EXPENSE
2025-06-10,Credit Card Bill Payment,13242,DEBIT,EXPENSE
2025-06-23,Interest from Savings Account,46874,CREDIT,INCOME
2025-06-24,Dining Out at Indian Oil,17340,DEBIT,EXPENSE
2025-06-07,Auto Sweep to FD,19645,DEBIT,SAVINGS
2025-06-17,Fixed Deposit opened at SBI,14421,DEBIT,SAVINGS
2025-06-15,Transfer to NPS Account,15948,DEBIT,SAVINGS
2025-06-07,Refund from Amazon,15549,CREDIT,INCOME
2025-06-22,Award for best employee,89581,CREDIT,INCOME
2025-06-14,Dining Out at Apollo Pharmacy,4058,DEBIT,EXPENSE
2025-06-08,Interest from Savings Account,11032,CREDIT,INCOME
2025-06-26,RD Installment at Axis Bank,31672,DEBIT,SAVINGS
2025-06-26,Electricity Bill Payment,10897,DEBIT,EXPENSE
2025-06-03,Salary credited from ABC Corp,98028,CREDIT,INCOME
2025-06-15,Fixed Deposit opened at ICICI Bank,4099,DEBIT,SAVINGS
2025-06-09,Fixed Deposit opened at ICICI Bank,36306,DEBIT,SAVINGS
2025-06-08,Transfer to PPF Account,6730,DEBIT,SAVINGS
2025-06-27,Electricity Bill Payment,11971,DEBIT,EXPENSE
2025-06-11,Consulting payment from INFOSYS LTD,8729,CREDIT,INCOME
2025-06-27,Fixed Deposit opened at HDFC Bank,10599,DEBIT,SAVINGS
2025-06-18,Dividend from Mutual Fund,80990,CREDIT,INCOME
2025-06-12,Dividend from Mutual Fund,54187,CREDIT,INCOME
2025-06-24,Electricity Bill Payment,12388,DEBIT,EXPENSE
2025-06-03,Dividend from Mutual Fund,54430,CREDIT,INCOME
2025-06-09,Salary credited from INFOSYS LTD,43092,CREDIT,INCOME
2025-06-27,Award for best employee,89771,CREDIT,INCOME
2025-06-09,Consulting payment from TCS,8057,CREDIT,INCOME
2025-06-19,Consulting payment from XYZ Pvt Ltd,76707,CREDIT,INCOME
2025-06-06,Transfer to Recurring Deposit,18696,DEBIT,SAVINGS
2025-06-27,Interest from Savings Account,51408,CREDIT,INCOME
2025-06-21,RD Installment at ICICI Bank,35312,DEBIT,SAVINGS
2025-06-07,Auto Sweep to FD,47340,DEBIT,SAVINGS
2025-06-15,Transfer to NPS Account,47989,DEBIT,SAVINGS
2025-06-06,Dividend from Mutual Fund,58006,CREDIT,INCOME
2025-06-02,POS/AMAZON IN/Online Shopping,3101,DEBIT,EXPENSE
2025-06-01,Transfer to PPF Account,28670,DEBIT,SAVINGS
2025-06-26,Salary credited from INFOSYS LTD,13315,CREDIT,INCOME
2025-06-19,Grocery Shopping at Big Bazaar,2887,DEBIT,EXPENSE
2025-06-04,Transfer to Fixed Deposit,31517,DEBIT,SAVINGS
2025-06-27,Dining Out at Indian Oil,7962,DEBIT,EXPENSE
2025-06-02,Transfer to Education Fund,45860,DEBIT,SAVINGS
2025-06-20,POS/AMAZON IN/Online Shopping,11710,DEBIT,EXPENSE
2025-06-03,Grocery Shopping at Big Bazaar,1478,DEBIT,EXPENSE
2025-06-20,Dining Out at Flipkart,4964,DEBIT,EXPENSE
2025-06-23,Auto Sweep to FD,16487,DEBIT,SAVINGS
2025-06-18,NPS Contribution,36498,DEBIT,SAVINGS
2025-06-24,Consulting payment from INFOSYS LTD,54492,CREDIT,INCOME
2025-06-19,Medical Consultation at Amazon,11066,DEBIT,EXPENSE
2025-06-17,Dividend from Mutual Fund,63179,CREDIT,INCOME
2025-06-12,Dining Out at Cafe Coffee Day,19482,DEBIT,EXPENSE
2025-06-26,Closure Proceeds from NPS,12149,DEBIT,SAVINGS
2025-06-18,Credit Card Bill Payment,18164,DEBIT,EXPENSE
2025-06-05,Refund from Amazon,46613,CREDIT,INCOME
2025-06-21,Fuel Purchase at Myntra,5590,DEBIT,EXPENSE
2025-06-15,POS/AMAZON IN/Online Shopping,13569,DEBIT,EXPENSE
2025-06-15,Maturity Proceeds from RD,30958,DEBIT,SAVINGS
2025-06-04,Electricity Bill Payment,12444,DEBIT,EXPENSE
2025-06-25,Dining Out at Apollo Pharmacy,12439,DEBIT,EXPENSE
2025-06-07,Transfer to PPF Account,25082,DEBIT,SAVINGS
2025-06-17,Investment in ICICI Prudential,35523,DEBIT,SAVINGS
2025-06-24,Award for best employee,76388,CREDIT,INCOME
2025-06-14,SIP to ICICI Prudential,19383,DEBIT,SAVINGS
2025-06-22,SIP to UTI Flexi Cap,7215,DEBIT,SAVINGS
2025-06-02,Sweep-in to Savings,47764,DEBIT,SAVINGS
2025-06-26,Gift received from Family,27459,CREDIT,INCOME
2025-06-03,PPF Deposit,7226,DEBIT,SAVINGS
2025-06-19,Maturity Proceeds from RD,29816,DEBIT,SAVINGS
2025-06-03,Award for best employee,53453,CREDIT,INCOME
2025-06-10,Credit Card Bill Payment,12086,DEBIT,EXPENSE
2025-06-07,Subscription Renewal - Netflix,9223,DEBIT,EXPENSE
2025-06-25,Investment in HDFC Top 100,45661,DEBIT,SAVINGS
2025-06-21,Credit Card Bill Payment,9445,DEBIT,EXPENSE
2025-06-17,Medical Consultation at Big Bazaar,10532,DEBIT,EXPENSE
2025-06-01,Recurring Deposit started at ICICI Bank,30472,DEBIT,SAVINGS
2025-06-04,Maturity Proceeds from FD,11777,DEBIT,SAVINGS
2025-06-18,Goal Based Savings Transfer,17336,DEBIT,SAVINGS
2025-06-28,Auto Sweep to FD,38036,DEBIT,SAVINGS
2025-06-01,Gift received from Family,84193,CREDIT,INCOME
2025-06-25,Salary credited from INFOSYS LTD,43326,CREDIT,INCOME
2025-06-06,Transfer to Education Fund,5476,DEBIT,SAVINGS
2025-06-04,Gift received from Family,99212,CREDIT,INCOME
2025-06-24,Interest from Savings Account,47493,CREDIT,INCOME
2025-06-10,Investment in Axis Bluechip,33890,DEBIT,SAVINGS
2025-06-16,Transfer to NPS Account,47892,DEBIT,SAVINGS
2025-06-11,Dividend from Mutual Fund,11637,CREDIT,INCOME
2025-06-18,Gift received from Family,63908,CREDIT,INCOME
2025-06-19,Fuel Purchase at Apollo Pharmacy,9280,DEBIT,EXPENSE
2025-06-24,FD Creation at HDFC Bank,14954,DEBIT,SAVINGS
2025-06-28,Investment in ICICI Prudential,37839,DEBIT,SAVINGS
2025-06-09,Interest from Savings Account,80742,CREDIT,INCOME
2025-06-24,Gift received from Family,59348,CREDIT,INCOME
2025-06-02,LIC Premium Payment,18977,DEBIT,SAVINGS
2025-06-28,Transfer to PPF Account,5084,DEBIT,SAVINGS
2025-06-14,Transfer to Child Plan,41401,DEBIT,SAVINGS
2025-06-17,Interest from Savings Account,11796,CREDIT,INCOME
2025-06-20,Award for best employee,10234,CREDIT,INCOME
2025-06-11,Dividend from Mutual Fund,64261,CREDIT,INCOME
2025-06-26,Sweep-in to Savings,23512,DEBIT,SAVINGS
2025-06-17,Salary credited from INFOSYS LTD,39194,CREDIT,INCOME
2025-06-01,PPF Deposit,23563,DEBIT,SAVINGS
2025-06-11,Subscription Renewal - Netflix,4255,DEBIT,EXPENSE
2025-06-24,Gift received from Family,70683,CREDIT,INCOME
2025-06-19,Transfer to Fixed Deposit,19636,DEBIT,SAVINGS
2025-06-21,Transfer to NPS Account,2353,DEBIT,SAVINGS
2025-06-07,Refund from Amazon,28329,CREDIT,INCOME
2025-06-01,Dining Out at Myntra,7875,DEBIT,EXPENSE
2025-06-14,Fixed Deposit opened at SBI,40729,DEBIT,SAVINGS
2025-06-19,Dividend from Mutual Fund,64919,CREDIT,INCOME
2025-06-06,LIC Premium Payment,34847,DEBIT,SAVINGS
2025-06-04,Goal Based Savings Transfer,34027,DEBIT,SAVINGS
2025-06-08,Gift received from Family,51112,CREDIT,INCOME
2025-06-14,Transfer to Education Fund,44781,DEBIT,SAVINGS
2025-06-03,Fuel Purchase at Apollo Pharmacy,18878,DEBIT,EXPENSE
2025-06-28,POS/AMAZON IN/Online Shopping,10643,DEBIT,EXPENSE
2025-06-11,FD Creation at HDFC Bank,32448,DEBIT,SAVINGS
2025-06-13,Grocery Shopping at Cafe Coffee Day,11086,DEBIT,EXPENSE
2025-06-20,Transfer to Recurring Deposit,26453,DEBIT,SAVINGS
2025-06-08,Mutual Fund Investment - SBI Magnum,29488,DEBIT,SAVINGS
2025-06-24,Mutual Fund Investment - ICICI Prudential,33733,DEBIT,SAVINGS
2025-06-02,Interest from Savings Account,17501,CREDIT,INCOME
2025-06-26,Mutual Fund Investment - SBI Magnum,43080,DEBIT,SAVINGS
2025-06-22,Transfer to Recurring Deposit,34929,DEBIT,SAVINGS
2025-06-27,Refund from Amazon,90482,CREDIT,INCOME
2025-06-01,Interest from Savings Account,16316,CREDIT,INCOME
2025-06-15,Transfer to Child Plan,41678,DEBIT,SAVINGS
2025-06-19,Transfer to PPF Account,43034,DEBIT,SAVINGS
2025-06-12,Auto Sweep to FD,20709,DEBIT,SAVINGS
2025-06-13,UPI payment to Big Bazaar,13877,DEBIT,EXPENSE
2025-06-20,Fuel Purchase at Indian Oil,256,DEBIT,EXPENSE
2025-06-07,Dividend from Mutual Fund,19535,CREDIT,INCOME
2025-06-18,Electricity Bill Payment,13528,DEBIT,EXPENSE
2025-06-12,SIP to ICICI Prudential,41038,DEBIT,SAVINGS
2025-06-27,Gift received from Family,56936,CREDIT,INCOME
2025-06-20,Recurring Deposit started at ICICI Bank,4523,DEBIT,SAVINGS
2025-06-15,Salary credited from INFOSYS LTD,75567,CREDIT,INCOME
2025-06-21,Dividend from Mutual Fund,83310,CREDIT,INCOME
2025-06-03,Credit Card Bill Payment,10863,DEBIT,EXPENSE
2025-06-11,Goal Based Savings Transfer,44014,DEBIT,SAVINGS
2025-06-11,Transfer to Fixed Deposit,17917,DEBIT,SAVINGS
2025-06-01,Auto Sweep to FD,2683,DEBIT,SAVINGS
2025-06-18,Electricity Bill Payment,11877,DEBIT,EXPENSE
2025-06-18,Refund from Amazon,81725,CREDIT,INCOME
2025-06-28,Recurring Deposit started at Axis Bank,11330,DEBIT,SAVINGS
2025-06-20,NPS Contribution,19367,DEBIT,SAVINGS
2025-06-16,Goal Based Savings Transfer,21876,DEBIT,SAVINGS
2025-06-24,Interest from Savings Account,55066,CREDIT,INCOME
